region,subregion,intervention_category,oxford_government_response_category,source_url,source_organization,source_category,interventions,Government Source (%),News Agency Source (%),Social Media Source (%),No Source Categorization (%)
Alberta,-,28,8,28,2,2,58,0.8275862068965517,0.1724137931034483,0.0,0.0
Alberta,Calgary,15,4,25,7,3,26,0.38461538461538464,0.5384615384615384,0.07692307692307693,0.0
Alberta,Edmonton,13,5,3,3,2,18,0.9444444444444444,0.05555555555555555,0.0,0.0
All,-,18,8,39,3,2,42,0.9523809523809523,0.047619047619047616,0.0,0.0
British Columbia,-,46,10,121,33,2,214,0.985981308411215,0.014018691588785047,0.0,0.0
British Columbia,Kelowna,33,7,68,10,3,134,0.17164179104477612,0.5970149253731343,0.22388059701492538,0.007462686567164312
British Columbia,Vancouver,22,7,44,9,2,65,0.8153846153846154,0.015384615384615385,0.0,0.1692307692307693
British Columbia,Victoria,23,5,31,5,3,35,0.5428571428571428,0.34285714285714286,0.11428571428571428,0.0
Manitoba,-,32,9,79,8,2,116,0.9827586206896551,0.017241379310344827,0.0,0.0
Manitoba,Winnipeg,19,5,14,2,1,30,0.9666666666666667,0.0,0.0,0.033333333333333326
New Brunswick,-,41,10,39,1,2,151,0.9867549668874173,0.006622516556291391,0.0,0.0066225165562913135
Newfoundland and Labrador,-,30,9,44,5,3,50,0.9,0.08,0.02,0.0
Newfoundland and Labrador,St. John's,8,4,11,1,1,11,1.0,0.0,0.0,0.0
Northwest Territories,-,33,11,43,19,1,76,1.0,0.0,0.0,0.0
Nova Scotia,-,30,9,65,0,1,103,1.0,0.0,0.0,0.0
Nova Scotia,Halifax,13,5,16,1,1,31,1.0,0.0,0.0,0.0
Nunavut,-,28,7,19,13,1,64,1.0,0.0,0.0,0.0
Ontario,-,42,9,102,21,2,136,0.9926470588235294,0.007352941176470588,0.0,0.0
Ontario,Hamilton,29,6,16,4,2,77,0.8961038961038961,0.09090909090909091,0.0,0.012987012987012991
Ontario,Kitchener-Waterloo,32,10,68,22,3,98,0.3979591836734694,0.5408163265306123,0.061224489795918366,0.0
Ontario,London,15,3,24,4,2,36,0.7777777777777778,0.2222222222222222,0.0,0.0
Ontario,Niagara,19,4,22,5,2,33,0.9696969696969697,0.0,0.030303030303030304,0.0
Ontario,Oshawa,10,2,13,1,1,19,1.0,0.0,0.0,0.0
Ontario,Ottawa,26,5,51,2,1,126,1.0,0.0,0.0,0.0
Ontario,Toronto,28,5,59,1,1,101,1.0,0.0,0.0,0.0
Ontario,Windsor,27,6,28,2,1,66,1.0,0.0,0.0,0.0
Prince Edward Island,-,24,7,56,4,1,81,1.0,0.0,0.0,0.0
Quebec,-,32,10,61,12,2,103,0.941747572815534,0.05825242718446602,0.0,0.0
Quebec,Gatineau,20,6,27,4,2,45,0.9777777777777777,0.022222222222222223,0.0,0.0
Quebec,Montreal,25,11,89,53,2,111,0.6576576576576577,0.34234234234234234,0.0,0.0
Quebec,Quebec City,13,4,16,5,2,32,0.90625,0.09375,0.0,0.0
Saskatchewan,-,36,10,51,3,2,78,0.9871794871794872,0.01282051282051282,0.0,0.0
Saskatchewan,Regina,17,4,21,2,2,31,0.9354838709677419,0.06451612903225806,0.0,0.0
Saskatchewan,Saskatoon,18,4,14,2,1,37,1.0,0.0,0.0,0.0
Yukon,-,30,8,17,1,2,58,0.9827586206896551,0.017241379310344827,0.0,0.0
